setting,task_id,score,status,total_tokens,prompt_tokens,completion_tokens,api_calls,elapsed_time,memory_injected,injection_steps,agent_steps,trajectory_logged
no-memory,1,1,success,82626,78253,4373,9,78.1,0,0,8,1
no-memory,2,1,success,36511,31028,5483,6,84.4,0,0,5,1
no-memory,3,1,success,46960,38957,8003,8,117.1,0,0,5,1
no-memory,4,1,success,38066,34288,3778,6,60.3,0,0,4,1
no-memory,5,0,success,69919,61865,8054,9,118.4,0,0,6,1
no-memory,6,1,success,169392,158957,10435,16,177.5,0,0,11,1
no-memory,7,1,success,242829,231098,11731,20,204.7,0,0,11,1
no-memory,8,1,success,483680,462351,21329,38,361.2,0,0,19,1
no-memory,9,1,success,282061,239808,42253,28,478.8,0,0,11,1
no-memory,10,1,success,359828,346104,13724,26,238.8,0,0,16,1
no-memory,11,1,success,88450,75452,12998,8,147.5,0,0,5,1
no-memory,12,1,success,172107,160150,11957,17,371.3,0,0,13,1
no-memory,13,1,success,470689,454631,16058,24,255.4,0,0,18,1
no-memory,14,1,success,152986,140178,12808,16,205.0,0,0,11,1
no-memory,15,1,success,375109,359271,15838,24,256.0,0,0,14,1
no-memory,16,1,success,140024,132149,7875,10,113.2,0,0,6,1
no-memory,17,0,success,251518,223915,27603,18,327.3,0,0,12,1
no-memory,18,1,success,150752,141545,9207,12,143.2,0,0,8,1
no-memory,19,1,success,98873,93368,5505,11,114.2,0,0,6,1
no-memory,20,1,success,67924,63204,4720,10,83.9,0,0,6,1
lightweight,1,1,success,86627,78416,8211,14,121.2,1,1,6,1
lightweight,2,1,success,31452,24001,7451,8,94.6,1,1,4,1
lightweight,3,1,success,54602,45097,9505,10,122.9,1,1,4,1
lightweight,4,1,success,44338,39654,4684,9,72.0,1,1,4,1
lightweight,5,1,success,179363,144380,34983,25,492.6,1,2,8,1
lightweight,6,1,success,118672,111300,7372,17,144.1,1,2,7,1
lightweight,7,1,success,74988,70687,4301,10,76.3,1,1,4,1
lightweight,8,1,success,51833,47359,4474,10,75.4,1,1,4,1
lightweight,9,1,success,204506,159491,45015,27,564.5,1,2,8,1
lightweight,10,0,success,1728852,1629939,98913,120,1494.2,1,7,42,1
lightweight,11,1,success,126347,114614,11733,15,170.4,1,1,6,1
lightweight,12,1,success,100291,91982,8309,17,211.9,1,1,6,1
lightweight,13,1,success,473583,441825,31758,35,479.9,1,3,13,1
lightweight,14,1,success,228791,207802,20989,36,356.4,1,2,13,1
lightweight,15,1,success,272426,252890,19536,30,328.7,1,3,13,1
lightweight,16,1,success,269901,252832,17069,24,270.5,1,2,9,1
lightweight,17,0,success,428063,389977,38086,36,534.6,1,3,16,1
lightweight,18,1,success,106119,96004,10115,13,153.9,1,1,6,1
lightweight,19,1,success,488822,444262,44560,56,681.9,1,4,18,1
lightweight,20,1,success,212484,194686,17798,34,292.4,1,2,12,1
expel,1,1,success,220156,210236,9920,17,175.1,0,0,12,1
expel,2,1,success,70438,63029,7409,10,111.4,1,1,5,1
expel,3,1,success,97051,83699,13352,15,196.6,1,1,7,1
expel,4,1,success,51049,47094,3955,8,58.9,1,1,4,1
expel,5,1,success,129647,110927,18720,13,264.5,1,1,7,1
expel,6,1,success,93396,86660,6736,12,120.2,1,1,6,1
expel,7,1,success,120306,113328,6978,11,169.0,1,1,5,1
expel,8,1,success,84506,76502,8004,11,128.4,1,1,5,1
expel,9,0,success,317467,288754,28713,30,444.0,1,1,11,1
expel,10,0,success,1952325,1906103,46222,60,894.9,1,2,42,1
expel,11,1,success,96872,89400,7472,10,122.9,1,1,5,1
expel,12,1,success,231267,216049,15218,20,371.5,1,1,13,1
expel,13,1,success,158243,149154,9089,13,152.3,1,1,8,1
expel,14,1,success,104322,94914,9408,14,164.2,1,1,7,1
expel,15,1,success,544758,518975,25783,31,437.0,1,1,15,1
expel,16,1,success,258539,243974,14565,20,238.4,1,1,12,1
expel,17,0,success,538143,498456,39687,25,538.8,1,2,19,1
expel,18,1,success,171358,159857,11501,14,198.4,1,1,8,1
expel,19,1,success,163342,152239,11103,20,250.2,1,1,8,1
expel,20,1,success,84467,78615,5852,10,104.6,1,1,5,1
voyager,1,1,success,84176,81086,3090,8,59.4,0,0,4,1
voyager,2,1,success,49033,42815,6218,8,95.2,0,0,5,1
voyager,3,1,success,45843,39115,6728,8,93.6,0,0,4,1
voyager,4,1,success,44428,40250,4178,9,67.4,0,0,4,1
voyager,5,0,success,147950,132593,15357,17,236.0,0,0,9,1
voyager,6,1,success,45279,40525,4754,7,70.1,0,0,5,1
voyager,7,1,success,154883,146259,8624,14,253.6,0,0,7,1
voyager,8,1,success,88006,82591,5415,12,95.4,0,0,6,1
voyager,9,1,success,440289,388689,51600,48,715.8,0,0,13,1
voyager,10,0,success,1020314,985679,34635,47,565.4,0,0,25,1
voyager,11,1,success,146582,133616,12966,13,191.4,0,0,6,1
voyager,12,1,success,159277,147609,11668,18,348.3,0,0,12,1
voyager,13,1,success,358195,341723,16472,19,262.9,0,0,10,1
voyager,14,1,success,222485,210860,11625,20,223.0,0,0,11,1
voyager,15,1,success,136859,128204,8655,12,134.5,0,0,7,1
voyager,16,1,success,202509,190051,12458,15,185.3,0,0,9,1
voyager,17,1,success,308690,283957,24733,21,333.8,0,0,14,1
voyager,18,1,success,185827,169730,16097,16,240.5,0,0,10,1
voyager,19,1,success,76979,70227,6752,10,116.1,0,0,5,1
voyager,20,1,success,83866,77424,6442,12,109.7,0,0,6,1
lightweight-gated,1,1,success,135636,124035,11601,20,193.8,1,2,9,1
lightweight-gated,2,1,success,56656,47277,9379,11,156.3,1,1,5,1
lightweight-gated,3,1,success,50554,40741,9813,11,149.2,1,1,4,1
lightweight-gated,4,1,success,49926,45571,4355,9,75.8,1,1,4,1
lightweight-gated,5,0,success,237976,202755,35221,31,538.4,1,2,12,1
lightweight-gated,6,1,success,118770,108999,9771,17,161.0,1,1,7,1
lightweight-gated,7,1,success,367377,348127,19250,34,342.7,1,2,12,1
lightweight-gated,8,1,success,69632,61865,7767,13,125.0,1,1,5,1
lightweight-gated,9,0,success,269272,218415,50857,37,727.2,0,0,,0
lightweight-gated,10,0,success,1050337,1000917,49420,76,759.8,1,6,33,1
lightweight-gated,11,1,success,61321,51442,9879,10,144.0,1,1,4,1
lightweight-gated,12,1,success,482213,454789,27424,47,899.9,1,4,21,1
lightweight-gated,13,1,success,562515,535336,27179,42,526.2,1,4,18,1
lightweight-gated,14,1,success,732953,688940,44013,60,774.5,1,4,22,1
lightweight-gated,15,1,success,270715,254433,16282,24,293.5,1,2,9,1
lightweight-gated,16,0,success,285248,265193,20055,26,368.3,1,2,11,1
lightweight-gated,17,0,success,265561,241406,24155,27,361.3,1,2,12,1
lightweight-gated,18,1,success,229695,214932,14763,27,221.9,1,2,12,1
lightweight-gated,19,1,success,112801,104431,8370,17,162.7,1,1,5,1
lightweight-gated,20,1,success,182776,168840,13936,26,217.6,1,2,9,1
